Title,Sale Price,Old Price,Description,Image URL
Element Artificial Plant | 38 cm,390,,"<h2 data-start=""217"" data-end=""251"">Easy Green Touch for Any Space</h2>
<p data-start=""253"" data-end=""499"">Add a fresh splash of green to your shelves, planters, or empty corners with the <strong data-start=""334"" data-end=""370"">Element Artificial Plant (38 cm)</strong>. This plant is perfect for DIY styling, letting you place it in your favourite pot or basket to match your home or office décor.</p>
<p data-start=""501"" data-end=""890"">✨ <strong data-start=""503"" data-end=""516"">Features:</strong><br data-start=""516"" data-end=""519"">🍃 <strong data-start=""522"" data-end=""547"">Compact 38 cm Height:</strong> Fits easily on tables, shelves, or window sills.<br data-start=""596"" data-end=""599"">🌿 <strong data-start=""602"" data-end=""629"">Realistic Green Leaves:</strong> Gives a soft, fresh feel to any area.<br data-start=""667"" data-end=""670"">🪴 <strong data-start=""673"" data-end=""707"">Pot-Free for Flexible Styling:</strong> Use in your preferred pot or arrangement.<br data-start=""749"" data-end=""752"">💧 <strong data-start=""755"" data-end=""776"">Zero Maintenance:</strong> No watering, sunlight, or trimming needed.<br data-start=""819"" data-end=""822"">💸 <strong data-start=""825"" data-end=""845"">Budget-Friendly:</strong> One-time purchase for long-lasting greenery.</p>
<h3 data-start=""892"" data-end=""916"">Why It’s Worth It 💸</h3>
<p data-start=""918"" data-end=""1144"">The <strong data-start=""922"" data-end=""950"">Element Artificial Plant</strong> is perfect if you want to refresh your space with greenery while using your own decorative pots. It keeps your room looking lively with no effort, making it ideal for busy homes and workspaces.</p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/3-1-2.jpg?v=1763711786
Enutrof Golden Money Plant Indoor with Self-Watering Flower Pot,439,,"<h2 data-start=""177"" data-end=""251"">Refresh Your Home with Enutrof Golden Money Plant in Self-Watering Pot</h2>
<p data-start=""284"" data-end=""541"">Bring a touch of green prosperity into your space with the <strong data-start=""343"" data-end=""410"">Enutrof Golden Money Plant Indoor with Self-Watering Flower Pot</strong> 🌿💚. Known for attracting wealth and purifying indoor air, this golden money plant adds a vibrant yet calming vibe to your decor.</p>
<p data-start=""543"" data-end=""840"">The included <strong data-start=""556"" data-end=""584"">self-watering flower pot</strong> makes care effortless, ensuring your plant stays hydrated while reducing watering frequency, making it ideal for busy homes and offices. Place it on your desk, living room, or balcony to enjoy a green corner that symbolizes positive energy and growth 🪴✨.</p>
<p data-start=""842"" data-end=""1061"">✅ Air-purifying and easy to maintain<br data-start=""878"" data-end=""881"">✅ Comes in a self-watering flower pot<br data-start=""918"" data-end=""921"">✅ Brings prosperity and positivity to your space<br data-start=""969"" data-end=""972"">✅ Perfect for homes, offices, and gifting<br data-start=""1013"" data-end=""1016"">✅ Thrives in indirect light with minimal care</p>
<p data-start=""1063"" data-end=""1194"">Enhance your interiors with the <strong data-start=""1095"" data-end=""1125"">Enutrof Golden Money Plant</strong>, a perfect blend of beauty, freshness, and prosperity for any space.</p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/1_351a95ac-66e2-47d9-a1b1-44cac7409a31.jpg?v=1752497506
Aglaonema Real Touch Artificial Plant | Lifelike Indoor Greenery,390,,"<h2 data-start=""331"" data-end=""395"">🌿 Bring Home Nature’s Calm with Aglaonema Real Touch Artificial Plant</h2>
<p data-start=""397"" data-end=""706"">Transform your indoor spaces with the <strong data-start=""435"" data-end=""488"">Aglaonema Real Touch Artificial Plant Without Pot</strong>, crafted for lifelike beauty and zero maintenance. Perfect for <strong data-start=""552"" data-end=""592"">home, office, café, and studio decor</strong>, this plant elevates corners, shelves, and table settings while giving your space a fresh, green vibe year-round.</p>
<p data-start=""708"" data-end=""1161"">✨ <strong data-start=""710"" data-end=""723"">Features:</strong><br data-start=""723"" data-end=""726"">🌱 <strong data-start=""729"" data-end=""761"">Lifelike Real Touch Texture:</strong> Feels and looks like a natural Aglaonema with realistic leaf patterns.<br data-start=""832"" data-end=""835"">🏡 <strong data-start=""838"" data-end=""862"">Versatile Decor Fit:</strong> Use in any planter to match your aesthetic and space.<br data-start=""916"" data-end=""919"">🪴 <strong data-start=""922"" data-end=""943"">Zero Maintenance:</strong> No watering, no sunlight needs, stays vibrant all seasons.<br data-start=""1002"" data-end=""1005"">♻️ <strong data-start=""1008"" data-end=""1037"">Durable &amp; Fade-Resistant:</strong> Built for long-lasting indoor beauty.<br data-start=""1075"" data-end=""1078"">🌿 <strong data-start=""1081"" data-end=""1109"">Airy &amp; Calming Presence:</strong> Instantly creates a soothing corner for your space.</p>
<p data-start=""1163"" data-end=""1307"">This <strong data-start=""1168"" data-end=""1198"">artificial Aglaonema plant</strong> is perfect for those who love <strong data-start=""1229"" data-end=""1258"">greenery without the mess</strong>, adding elegance to your interiors effortlessly.</p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/3_2.png?v=1763711742
Artificial Vertical Garden Panel with Colourful Flowers for Wall Décor,999,,"<h2 data-start=""332"" data-end=""393"">Brighten Your Space with Effortless Floral Greenery 🌿🌼✨</h2>
<p data-start=""395"" data-end=""784"">Give your walls a lively makeover with our <strong data-start=""438"" data-end=""474"">Artificial Vertical Garden Panel</strong>, featuring <strong data-start=""486"" data-end=""546"">lush green grass layered with vibrant, colourful flowers</strong> that instantly uplift any space. Sized at <strong data-start=""589"" data-end=""604"">50cm x 50cm</strong>, this panel is perfect for <strong data-start=""632"" data-end=""692"">balconies, living room walls, cafes, offices, and patios</strong>, delivering a <strong data-start=""707"" data-end=""783"">natural, fresh feel without the worry of watering, trimming, or sunlight</strong>.</p>
<hr data-start=""786"" data-end=""789"">
<h2 data-start=""791"" data-end=""844"">🌿 <strong data-start=""797"" data-end=""844"">Why People Love This Vertical Garden Panel:</strong>
</h2>
<p data-start=""846"" data-end=""1441"">✅ <strong data-start=""848"" data-end=""871"">Lively &amp; Realistic:</strong> Combines <strong data-start=""881"" data-end=""945"">natural-looking artificial grass with multi-coloured flowers</strong> for a stunning visual impact.<br data-start=""975"" data-end=""978"">✅ <strong data-start=""980"" data-end=""1005"">Compact &amp; Expandable:</strong> Use as a <strong data-start=""1015"" data-end=""1089"">single accent piece or combine multiple panels for a full feature wall</strong>.<br data-start=""1090"" data-end=""1093"">✅ <strong data-start=""1095"" data-end=""1116"">Zero Maintenance:</strong> Stays green and colourful all year, no care required.<br data-start=""1170"" data-end=""1173"">✅ <strong data-start=""1175"" data-end=""1198"">Privacy with Style:</strong> Acts as a <strong data-start=""1209"" data-end=""1262"">beautiful privacy screen for balconies and fences</strong>.<br data-start=""1263"" data-end=""1266"">✅ <strong data-start=""1268"" data-end=""1295"">Durable &amp; UV Resistant:</strong> Retains colour indoors and in indirect outdoor light.<br data-start=""1349"" data-end=""1352"">✅ <strong data-start=""1354"" data-end=""1377"">Quick Installation:</strong> Lightweight, flexible, and easy to hang or clip on any surface.</p>
<hr data-start=""1443"" data-end=""1446"">
<h2 data-start=""1448"" data-end=""1467"">🌿 <strong data-start=""1454"" data-end=""1467"">Features:</strong>
</h2>
<p data-start=""1469"" data-end=""1883"">🪴 <strong data-start=""1472"" data-end=""1481"">Size:</strong> 50cm x 50cm for flexible wall coverage.<br data-start=""1521"" data-end=""1524"">🌼 <strong data-start=""1527"" data-end=""1538"">Colour:</strong> Rich green leaves with assorted colourful floral accents.<br data-start=""1596"" data-end=""1599"">🏡 <strong data-start=""1602"" data-end=""1615"">Best For:</strong> Balcony walls, living room accents, café and salon décor, office walls, event backdrops, and patio fences.<br data-start=""1722"" data-end=""1725"">🌿 <strong data-start=""1728"" data-end=""1741"">Material:</strong> UV-protected, high-quality artificial fibres and flowers.<br data-start=""1799"" data-end=""1802"">🛠️ <strong data-start=""1806"" data-end=""1816"">Setup:</strong> Easy to install with clips or ties for hassle-free décor upgrades.</p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/6th-.1.jpg?v=1750772992
Artificial Iron Tree – 210 CM | Indoor Decorative Tree,8064,,"<h2 data-end=""265"" data-start=""208"">Enhance Your Space with a 210 CM Artificial Iron Tree</h2>
<p data-end=""546"" data-start=""298"">Add timeless elegance to your interiors with this <strong data-end=""379"" data-start=""348"">210 CM Artificial Iron Tree</strong> 🌳✨. Featuring a sleek, upright structure with dense, lifelike foliage, this tree instantly elevates empty corners while adding a natural, calming vibe to your decor.</p>
<p data-end=""858"" data-start=""548"">Perfect for <strong data-end=""606"" data-start=""560"">homes, offices, cafes, and reception areas</strong>, this artificial iron tree requires zero maintenance while ensuring year-round greenery. The premium, UV-resistant leaves retain their vibrant look without fading, while its sturdy design keeps it stable and easy to position in your desired spot 🌿🏡.</p>
<p data-end=""902"" data-start=""860"">📏 <strong data-end=""874"" data-start=""863"">Height:</strong> 210 CM<br data-end=""884"" data-start=""881"">🏷️ <strong data-end=""896"" data-start=""888"">SKU:</strong> 210/1</p>
<p data-end=""1096"" data-start=""904"">✅ Realistic leaves and elegant trunk<br data-end=""943"" data-start=""940"">✅ No watering or maintenance required<br data-end=""983"" data-start=""980"">✅ Ideal for modern decor themes<br data-end=""1017"" data-start=""1014"">✅ UV-resistant, durable build<br data-end=""1049"" data-start=""1046"">✅ Instantly creates a green focal point indoors</p>
<p data-end=""1250"" data-start=""1098"">Upgrade your home or workspace effortlessly with this <strong data-end=""1192"" data-start=""1152"">artificial iron tree that looks real</strong>, ensuring your space stays fresh and welcoming every day.</p>
<p data-end=""1250"" data-start=""1098""> </p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/2_1_9e66e7cc-993d-4fdc-99f2-002232fd2682.jpg?v=1752231489
Artificial Ficus Tree – 180 CM | Indoor Green Decorative Tree,4499,,"<h2 data-start=""217"" data-end=""275"">Refresh Your Decor with a 180 CM Artificial Ficus Tree</h2>
<p data-start=""308"" data-end=""560"">Add timeless greenery to your space with this <strong data-start=""354"" data-end=""386"">180 CM Artificial Ficus Tree</strong> 🌳✨. Designed with dense, lifelike leaves and a natural-looking trunk, this artificial tree brings a calming, fresh feel to your interiors without the hassle of maintenance.</p>
<p data-start=""562"" data-end=""841"">Perfect for <strong data-start=""574"" data-end=""620"">homes, offices, cafes, and reception areas</strong>, this artificial ficus tree keeps your decor vibrant year-round. The <strong data-start=""690"" data-end=""723"">UV-resistant, premium foliage</strong> ensures the leaves remain bright and beautiful without fading, making it a practical, long-lasting decor choice 🌿🏡.</p>
<p data-start=""843"" data-end=""909"">📏 <strong data-start=""846"" data-end=""857"">Height:</strong> 180 CM<br></p>
<p data-start=""911"" data-end=""1094"">✅ Realistic, dense foliage<br data-start=""937"" data-end=""940"">✅ No watering or sunlight needed<br data-start=""972"" data-end=""975"">✅ UV-resistant, durable build<br data-start=""1004"" data-end=""1007"">✅ Perfect for living rooms, offices, balconies<br data-start=""1053"" data-end=""1056"">✅ Instantly brightens up empty corners</p>
<p data-start=""1096"" data-end=""1216"">Bring home this <strong data-start=""1112"" data-end=""1153"">artificial ficus tree that looks real</strong> to elevate your decor and enjoy effortless greenery every day.</p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/2_4.jpg?v=1752492570
Artificial Ficus Tree | 180cm,6746,,"<h2 id=""tinymce_scroll_sign"">Enhance Your Space with the Artificial Ficus Tree</h2>
<p>Artificial ficus trees offer a perfect blend of beauty and convenience for any space. Unlike their live counterparts, they require minimal maintenance, making them an ideal choice for both homes and offices.</p>
<h2>Realistic Appearance</h2>
<p>One of the standout features of artificial ficus trees is their realistic look. Crafted with high-quality materials, these trees mimic the intricate details of natural ficus leaves and trunks, adding a touch of nature to your décor without the fuss.</p>
<h2>Versatile Décor Element</h2>
<p>Whether you place it in a living room, office, or hallway, an artificial ficus tree seamlessly fits into various interior design styles. Its lush green foliage brings life to any corner, enhancing the overall aesthetic of your space.</p>
<h3>Realistic Appearance</h3>
<p>The Artificial Ficus Tree stands at an impressive 180cm, making it a stunning centerpiece in any room. Its realistic leaves and branches mimic a real Ficus tree, adding a touch of nature to your decor. This lifelike plant is perfect for those who love greenery but do not have the time for maintenance. Because of its high-quality materials, it remains vibrant and full throughout the year, so you can enjoy its beauty without any hassle.</p>
<h3>Suitable for Any Environment</h3>
<p>This versatile Artificial Ficus Tree fits effortlessly into various settings. Whether you place it in your living room, office, or entryway, it enhances the atmosphere and brings a sense of tranquility. The rich green tones create a welcoming ambiance, making it an excellent choice for both residential and commercial spaces. Thus, you can transform any dull area into a lively and inviting environment with this timeless addition.</p>
<h3>Easy to Maintain and Style</h3>
<p>One of the standout features of the Artificial Ficus Tree is its low maintenance requirements. Unlike real plants, it doesn’t need watering or sunlight, which is perfect for busy individuals. Simply dust it occasionally to keep it looking fresh. Furthermore, you can easily style it according to your preferences by adding decorative pots or arranging it with other artificial plants. Because of its flexibility, it allows you to change your decor style without any stress.</p>
<p> </p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/P-2-1.jpg?v=1739879950
5 ft Artificial Ficus Plant | Realistic Indoor Green Tree Décor,3299,,"<h3 data-start=""200"" data-end=""276"">🌿 <strong data-start=""207"" data-end=""276"">5 ft Artificial Ficus Plant – Lifelike Greenery for Modern Spaces</strong>
</h3>
<p data-start=""278"" data-end=""619"">Enhance your home or workspace with the timeless beauty of our <strong data-start=""341"" data-end=""372"">5 ft Artificial Ficus Plant</strong>, crafted to bring the natural charm of real foliage into your surroundings. With its dense, realistic leaves and rich green tones, this lifelike ficus tree creates a refreshing, elegant atmosphere — without the need for maintenance or sunlight.</p>
<p data-start=""621"" data-end=""975"">Standing tall at <strong data-start=""638"" data-end=""648"">5 feet</strong>, this faux ficus plant makes a striking statement piece in living rooms, offices, hotels, lobbies, or balconies. Each branch is carefully designed with <strong data-start=""801"" data-end=""822"">real-touch leaves</strong> that capture the intricate detail and texture of a natural ficus tree. Its durable base pot ensures easy placement and stability in any décor setting.</p>
<p data-start=""977"" data-end=""1150"">Made from <strong data-start=""987"" data-end=""1024"">premium, fade-resistant materials</strong>, this artificial plant stays vibrant all year round, bringing everlasting freshness and a calm, natural vibe to your space.</p>
<hr data-start=""1152"" data-end=""1155"">
<p data-start=""1157"" data-end=""1178""><strong data-start=""1157"" data-end=""1176"">✨ Key Features:</strong></p>
<ul data-start=""1179"" data-end=""1523"">
<li data-start=""1179"" data-end=""1218"">
<p data-start=""1181"" data-end=""1218"">Height: <strong data-start=""1189"" data-end=""1216"">5 feet (approx. 150 cm)</strong></p>
</li>
<li data-start=""1219"" data-end=""1285"">
<p data-start=""1221"" data-end=""1285""><strong data-start=""1221"" data-end=""1260"">Dense, natural-looking ficus leaves</strong> with realistic texture</p>
</li>
<li data-start=""1286"" data-end=""1350"">
<p data-start=""1288"" data-end=""1350""><strong data-start=""1288"" data-end=""1324"">UV- and fade-resistant materials</strong> for long-lasting beauty</p>
</li>
<li data-start=""1351"" data-end=""1400"">
<p data-start=""1353"" data-end=""1400""><strong data-start=""1353"" data-end=""1398"">No watering, trimming, or sunlight needed</strong></p>
</li>
<li data-start=""1401"" data-end=""1460"">
<p data-start=""1403"" data-end=""1460"">Includes a <strong data-start=""1414"" data-end=""1439"">sturdy decorative pot</strong> for easy placement</p>
</li>
<li data-start=""1461"" data-end=""1523"">
<p data-start=""1463"" data-end=""1523"">Perfect for <strong data-start=""1475"" data-end=""1523"">homes, offices, hotels, and commercial décor</strong></p>
</li>
</ul>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/3_8ccccfde-6ba9-4628-ab9b-3e48f3afd96e.png?v=1760251597
Petalshue Real Touch Artificial Plant with Pot – 32 CM (Green),399,,"<h2 data-start=""252"" data-end=""307"">Elevate Your Décor with Lifelike Petalshue Artificial Plant</h2>
<p data-start=""309"" data-end=""544"">Bring effortless elegance into your space with the <strong data-start=""360"" data-end=""401"">Petalshue Real Touch Artificial Plant</strong>. Expertly designed to mimic the texture and appearance of real foliage, this 32 CM beauty adds a fresh, nature-inspired vibe to any setting.</p>
<p data-start=""546"" data-end=""795"">Crafted with premium materials, the plant features vibrant green tones and realistic detailing—perfect for tabletops, shelves, desks, or cozy corners. Nestled in a basic yet modern pot, it complements both minimalist and luxurious interiors alike.</p>
<p data-start=""797"" data-end=""958"">Whether you're brightening up your living room, workspace, or balcony, this low-maintenance faux plant offers year-round greenery without the mess or watering.</p>
<p data-start=""960"" data-end=""1076"">✔️ Real-touch texture for natural feel<br data-start=""998"" data-end=""1001"">✔️ Ideal for indoor &amp; outdoor use<br data-start=""1034"" data-end=""1037"">✔️ Zero upkeep – just place and enjoy</p>
<p data-start=""1078"" data-end=""1129""><strong data-start=""1078"" data-end=""1129"">Style your space with nature, minus the hassle.</strong></p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/4-2-1-1.jpg?v=1750786676
Color Meadow Green Wall | Vertical Garden Panel (1m x 1m),5794,,"<h2 data-start=""336"" data-end=""401"">Transform Your Walls with Lush, Vibrant Greenery </h2>
<p data-start=""403"" data-end=""729"">Bring your walls to life with the <strong data-start=""437"" data-end=""496"">Color Meadow Green Wall Vertical Garden Panel (1m x 1m)</strong>, designed to add rich, natural greenery to any indoor or outdoor space without the hassle of maintenance. This panel features a mix of realistic green shades and textures, creating a fresh, inviting look that stays vibrant all year.</p>
<p data-start=""731"" data-end=""1248"">✨ <strong data-start=""733"" data-end=""746"">Features:</strong><br data-start=""746"" data-end=""749"">🌱 <strong data-start=""752"" data-end=""781"">Large Coverage (1m x 1m):</strong> Perfect for balconies, patios, feature walls, cafés, offices, and event décor.<br data-start=""860"" data-end=""863"">🌿 <strong data-start=""866"" data-end=""901"">Realistic Multi-Tonal Greenery:</strong> Lush textures and color variation for a natural, meadow-like aesthetic.<br data-start=""973"" data-end=""976"">🛠️ <strong data-start=""980"" data-end=""1000"">Easy to Install:</strong> Lightweight and flexible for quick wall mounting.<br data-start=""1050"" data-end=""1053"">💧 <strong data-start=""1056"" data-end=""1077"">Zero Maintenance:</strong> No watering, sunlight, or trimming needed—stays green always.<br data-start=""1139"" data-end=""1142"">💸 <strong data-start=""1145"" data-end=""1165"">Value for Money:</strong> Get premium, evergreen wall décor with a one-time investment and no ongoing costs.</p>
<h3 data-start=""1250"" data-end=""1274"">Why It’s Worth It 💸</h3>
<p data-start=""1276"" data-end=""1587"">The <strong data-start=""1280"" data-end=""1313"">Color Meadow Green Wall Panel</strong> is <strong data-start=""1317"" data-end=""1336"">value for money</strong>, providing a high-impact vertical garden look while saving you the time, water, and care costs of live plants. Ideal for creating photo-friendly backdrops, lively home corners, café walls, or office partitions with a clean, natural feel effortlessly.</p>
<p><br></p>",https://cdn.shopify.com/s/files/1/0727/5429/9109/files/12th_.1.jpg?v=1750782008
